id,Attribute Count,Attribute Count-rarity,Punk Type,Punk Type-rarity,Skin Tone,Skin Tone-rarity,isPersonOfColor,Full Type,Full Type-rarity,Hair,Hair-rarity,Eyes,Eyes-rarity,Facial Hair,Facial Hair-rarity,Blemishes,Blemishes-rarity,Neck Accessory,Neck Accessory-rarity,Mouth Prop,Mouth Prop-rarity,Mouth,Mouth-rarity,Nose,Nose-rarity,Ears,Ears-rarity
6281,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Dark Hair,63.69426752,Nerd Glasses,17.48251748,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Black Lipstick,16.20745543,,1.021659174,,1.326084074
6282,3,2.221728505,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Bandana,20.79002079,Nerd Glasses,17.48251748,Front Beard,36.63003663,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6283,3,2.221728505,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Stringy Hair,21.59827214,,2.545824847,Front Beard,36.63003663,,1.098418278,Gold Chain,59.17159763,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6284,3,2.221728505,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Frumpy Hair,22.62443439,,2.545824847,Mustache,34.72222222,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6285,2,2.808988764,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Headband,24.63054187,Green Eye Shadow,36.900369,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6286,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Half Shaved,68.02721088,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Vape,36.76470588,Black Lipstick,16.20745543,,1.021659174,,1.326084074
6287,2,2.808988764,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Fedora,53.76344086,Classic Shades,19.92031873,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6288,1,30.03003003,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,,40.6504065,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,,1.326084074
6289,4,7.042253521,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Mohawk Dark,23.31002331,Small Shades,26.45502646,Shadow Beard,19.01140684,,1.098418278,,1.038745196,,1.208459215,Smile,42.01680672,,1.021659174,,1.326084074
6290,3,2.221728505,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Stringy Hair,21.59827214,Big Shades,18.69158879,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,,1.326084074
6291,3,2.221728505,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Mohawk,22.67573696,Regular Shades,18.97533207,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Smile,42.01680672,,1.021659174,,1.326084074
6292,2,2.808988764,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Headband,24.63054187,Blue Eye Shadow,37.59398496,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6293,4,7.042253521,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Knitted Cap,23.86634845,Green Eye Shadow,36.900369,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,Clown Nose,47.16981132,,1.326084074
6294,3,2.221728505,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Crazy Hair,24.15458937,Classic Shades,19.92031873,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,,1.326084074
6295,5,60.24096386,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Stringy Hair,21.59827214,Eye Patch,21.69197397,Normal Beard Black,34.60207612,,1.098418278,,1.038745196,Cigarette,10.40582726,,1.341381623,,1.021659174,Earring,4.066693778
6296,2,2.808988764,Male,1.655903295,Albino,9.823182711,0,Male-Albino,16.72240803,Clown Hair Green,67.56756757,Big Shades,18.69158879,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6297,3,2.221728505,Zombie,113.6363636,Zombie,113.6363636,0,Zombie,113.6363636,Top Hat,86.95652174,Nerd Glasses,17.48251748,,1.539171926,,1.098418278,,1.038745196,Cigarette,10.40582726,,1.341381623,,1.021659174,,1.326084074
6298,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Crazy Hair,24.15458937,Clown Eyes Green,26.17801047,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Purple Lipstick,15.26717557,,1.021659174,,1.326084074
6299,2,2.808988764,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Bandana,20.79002079,,2.545824847,Shadow Beard,19.01140684,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6300,4,7.042253521,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Mohawk Dark,23.31002331,,2.545824847,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,Earring,4.066693778
6301,4,7.042253521,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Messy Hair,21.73913043,Nerd Glasses,17.48251748,Front Beard Dark,38.46153846,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6302,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Dark Hair,63.69426752,Blue Eye Shadow,37.59398496,,1.539171926,Mole,15.52795031,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6303,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Cap,28.49002849,Small Shades,26.45502646,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Frown,38.31417625,,1.021659174,,1.326084074
6304,2,2.808988764,Zombie,113.6363636,Zombie,113.6363636,0,Zombie,113.6363636,Crazy Hair,24.15458937,Regular Shades,18.97533207,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6305,2,2.808988764,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Frumpy Hair,22.62443439,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,,1.326084074
6306,2,2.808988764,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Cap Forward,39.37007874,Horned Rim Glasses,18.69158879,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6307,3,2.221728505,Male,1.655903295,Albino,9.823182711,0,Male-Albino,16.72240803,Wild Hair,22.37136465,,2.545824847,Shadow Beard,19.01140684,,1.098418278,Silver Chain,64.1025641,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6308,2,2.808988764,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Hoodie,38.61003861,,2.545824847,Chinstrap,35.46099291,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6309,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Red Mohawk,68.02721088,Horned Rim Glasses,18.69158879,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,,1.326084074
6310,3,2.221728505,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Stringy Hair,21.59827214,Horned Rim Glasses,18.69158879,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,,1.326084074
6311,2,2.808988764,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Vampire Hair,68.02721088,Small Shades,26.45502646,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
